measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44637,Low SDI,3,Both,22,All ages,572,Eating disorders,3,Rate,2017,2.7025652373833122e-05,0.0001846378209458748,4.944329512265553e-06
1,Deaths,44637,Low SDI,1,Male,22,All ages,573,Anorexia nervosa,1,Number,2017,0.06326403476594847,0.318929512628145,0.004469947999376599
1,Deaths,44637,Low SDI,2,Female,22,All ages,573,Anorexia nervosa,1,Number,2017,0.2116432949821656,1.0811693776104927,0.04070069538876443
1,Deaths,44637,Low SDI,3,Both,22,All ages,573,Anorexia nervosa,1,Number,2017,0.27490732974811466,1.8781522689859755,0.050294157743542976
1,Deaths,44637,Low SDI,1,Male,22,All ages,573,Anorexia nervosa,2,Percent,2017,1.534605944496875e-08,7.563351358439287e-08,1.0263308972755367e-09
1,Deaths,44637,Low SDI,2,Female,22,All ages,573,Anorexia nervosa,2,Percent,2017,5.990835101990887e-08,2.8142138557666356e-07,1.1890297633264698e-08
1,Deaths,44637,Low SDI,3,Both,22,All ages,573,Anorexia nervosa,2,Percent,2017,3.5849554321411784e-08,2.3327232872305803e-07,6.713663065480926e-09
1,Deaths,44637,Low SDI,1,Male,22,All ages,573,Anorexia nervosa,3,Rate,2017,1.2410497105628967e-05,6.256435916574929e-05,8.768690917961179e-07
1,Deaths,44637,Low SDI,2,Female,22,All ages,573,Anorexia nervosa,3,Rate,2017,4.170750385906115e-05,0.00021306073501070814,8.020685985522988e-06
1,Deaths,44637,Low SDI,3,Both,22,All ages,573,Anorexia nervosa,3,Rate,2017,2.7025652373833122e-05,0.0001846378209458748,4.944329512265553e-06
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,1,Number,2016,4.224105645691197,6.721062664565442,0.8014292873601062
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,1,Number,2016,34.63134832772804,39.38569173578969,28.742604095695732
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,1,Number,2016,38.85545397341924,44.5151652806033,30.74830509388273
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,2,Percent,2016,7.247312217680723e-07,1.1164861028372093e-06,1.419128943894598e-07
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,2,Percent,2016,7.058271557311361e-06,7.954883654195074e-06,5.928606718121895e-06
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,2,Percent,2016,3.622085525499644e-06,4.140017102141828e-06,2.8588184868321772e-06
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,3,Rate,2016,0.0006637166022619829,0.001056053339921924,0.00012592533619571744
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,3,Rate,2016,0.005418890342738477,0.006162819378830325,0.004497457571832842
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,3,Rate,2016,0.0030462496198233767,0.00348996836853788,0.0024106528974421576
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,1,Number,2016,4.224105645691197,6.721062664565442,0.8014292873601062
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,1,Number,2016,34.63134832772804,39.38569173578969,28.742604095695732
