mesh,work_id,publication_year
D008607,2230528463,2016
D008607,2230528463,2016
D012559,2555210373,2016
D001068,2511237305,2016
D001068,2511237305,2016
D001068,2567389128,2016
D001714,2530833644,2016
D012559,2337552435,2016
D012559,2564598559,2016
D001714,2465031403,2016
D001008,2465031403,2016
D001008,2465031403,2016
D001523,2416356610,2016
D012559,2408415163,2016
D000856,2412302904,2016
D000856,2412302904,2016
D001523,2498308918,2016
D001068,2278516255,2016
D000856,2254351928,2016
D012559,2411474491,2016
D001321,2556374287,2016
D001321,2556374287,2016
D019964,2275690414,2016
D003865,2341810235,2016
D012559,2317962397,2016
D001289,2388487305,2016
D008607,2256682960,2016
D001714,2529760249,2016
D001523,2465324022,2016
D001523,2465324022,2016
D001523,2519224509,2016
D001523,2518148306,2016
D012559,2522593316,2016
D001523,2289334006,2016
D001523,2289334006,2016
D001523,2299864858,2016
D001523,2350301951,2016
D019955,2290181173,2016
D019955,2290181173,2016
D001289,2509055282,2016
D019955,2510241673,2016
D001523,2548801776,2016
D012559,2519696082,2016
D012559,2430211491,2016
D012559,2430211491,2016
D012559,2327880444,2016
D012559,2282564001,2016
D001523,2538091724,2016
D001523,2256972814,2016
D001008,2523486218,2016
D001523,2257104062,2016
D001714,2529828774,2016
D012559,2529828774,2016
D001068,2564427022,2016
D001068,2564427022,2016
D003865,2492077070,2016
D012559,2513548946,2016
D008607,2355184294,2016
D001523,2269419259,2016
D001523,2539651215,2016
D012559,2513504208,2016
D001289,2510016857,2016
D008607,2440795365,2016
D001289,2289421196,2016
D003865,2565455004,2016
D003865,2565455004,2016
D003865,2408809560,2016
D001321,2428591601,2016
D008607,2336339647,2016
D001523,2318841350,2016
D001523,2318841350,2016
D012559,2404055799,2016
D012559,2283214644,2016
D001289,2393581977,2016
D052018,2409536707,2016
D052018,2409536707,2016
D001321,2302004293,2016
D012559,2297155836,2016
D001714,2293590266,2016
D001289,2499383231,2016
D012559,2530536824,2016
D001523,2561015403,2016
D001523,2522412409,2016
D001714,2520431457,2016
D019964,2508382448,2016
D001068,2550321578,2016
D001068,2235789096,2016
D012559,2560110113,2016
D001008,2480091385,2016
D012559,2463759885,2016
D001523,2346365317,2016
D008607,2281985308,2016
D012559,2552924490,2016
D001714,2278659345,2016
D003865,2466185491,2016
D001321,2509703292,2016
D012559,2507336333,2016
D001714,2507336333,2016
D001008,2513307195,2016
D001523,2549403307,2016
D001321,2478439427,2016
D001289,2509372773,2016
D001289,2346138031,2016
D012559,2469761137,2016
D001289,2271173963,2016
D003865,2347145506,2016
D008607,2480249598,2016
D012559,2480249598,2016
D001289,2461048406,2016
D008607,2556724996,2016
D001321,2468666265,2016
D001289,2342911519,2016
D012559,2264306296,2016
D001714,2264306296,2016
D001008,2520648413,2016
D001008,2520648413,2016
D001289,2471997980,2016
D001008,2471997980,2016
D001321,2416392649,2016
D012559,2558320035,2016
D001523,2338909914,2016
D001321,2320802212,2016
D001714,2332369176,2016
D012559,2332369176,2016
D052018,2254061788,2016
D000856,2254061788,2016
D001523,2530905111,2016
D003865,2541740578,2016
D003865,2541740578,2016
D012559,2334262275,2016
D001523,2520553955,2016
D008607,2549464894,2016
D008607,2333105372,2016
D003865,2470096733,2016
D008607,2507427135,2016
D008607,2507427135,2016
D001523,2561499257,2016
D001321,2258992680,2016
D003865,2391434619,2016
D012559,2391434619,2016
D001523,2527213288,2016
D001008,2406947429,2016
D001714,2258590832,2016
D001523,2434629363,2016
D001523,2440456534,2016
D001523,2440456534,2016
D001321,2527627627,2016
D012559,2555439513,2016
D001714,2555439513,2016
D001523,2258083955,2016
D012559,2299623101,2016
D001523,2299623101,2016
D001008,2460207644,2016
D001008,2315778226,2016
D001008,2315778226,2016
D001321,2411330204,2016
D001321,2408611602,2016
D001523,2543727856,2016
D001523,2558492380,2016
D001523,2484866853,2016
D001523,2557487718,2016
D012559,2267664779,2016
D001714,2267664779,2016
D001523,2466957612,2016
D012559,2532268613,2016
D012559,2532268613,2016
D003865,2322157847,2016
D008607,2475171719,2016
D012559,2560045063,2016
D001523,2512343835,2016
D001523,2512343835,2016
D001008,2288784913,2016
D012559,2288784913,2016
D000856,2558018998,2016
D001289,2508413829,2016
D001289,2294416314,2016
D012559,4231480665,2016
D001523,3146997625,2016
D000856,2470081611,2016
D012559,2566126028,2016
D001523,2461976725,2016
D012559,2396447160,2016
D012559,2562605803,2016
D001289,2524565536,2016
D001068,2345830143,2016
D001068,2345830143,2016
D012559,2345830143,2016
D012559,2520625679,2016
D001523,2328491549,2016
D008607,2487896252,2016
D001321,2487896252,2016
D001523,2522150180,2016
D001321,2538260220,2016
D019964,2523644166,2016
D012559,2231175546,2016
D012559,2344088827,2016
D001714,2344088827,2016
D001523,2321103565,2016
D001289,2418375231,2016
D001008,2539949858,2016
D001008,2280045520,2016
D003865,2555003960,2016
D001289,2515148370,2016
D001523,2558203075,2016
D001523,2558203075,2016
D003865,2383055358,2016
D003865,2311896319,2016
D012559,2317927680,2016
D003865,2286973742,2016
D012559,2468096319,2016
D012559,2468096319,2016
D001068,2560628738,2016
D012559,2262461624,2016
D001714,2262461624,2016
D003865,2262461624,2016
D001523,2308768932,2016
D001523,2344053285,2016
D001289,2338593949,2016
D012559,2338593949,2016
D001068,2508041237,2016
D001068,2508041237,2016
D001523,2330027598,2016
D001289,2560680125,2016
D001289,2560680125,2016
D012559,2464964435,2016
D001523,2557843278,2016
D003865,2564289450,2016
D003865,2564289450,2016
D012559,2531162526,2016
D012559,2531162526,2016
D003865,2290709820,2016
D003865,2530266489,2016
D001523,2482844670,2016
D012559,2566426758,2016
D001523,2551890835,2016
D001523,2551890835,2016
D001523,2551890835,2016
D001523,2240117730,2016
D001523,2240117730,2016
D012559,2311271131,2016
D001008,2507176389,2016
D012559,2410722581,2016
D003865,2363535642,2016
D003865,2363535642,2016
D001523,2227578505,2016
D012559,2336853600,2016
D001714,2476866463,2016
D003865,2477238780,2016
D008607,2346606510,2016
D003865,2351801363,2016
D003865,2280029686,2016
D001523,2294743893,2016
D008607,2485207963,2016
D001523,2274719657,2016
D001523,2462732086,2016
D012559,2492321793,2016
D001523,2481871050,2016
D019964,2542755769,2016
D001008,2542755769,2016
D001068,2327188318,2016
D001523,2345675615,2016
D003865,4245501264,2016
D001523,2252577152,2016
D008607,2280938633,2016
D012559,2561667621,2016
D003865,2564517961,2016
D003865,2564517961,2016
D001008,2564517961,2016
D001008,2564517961,2016
D001523,2511246692,2016
D003865,2281122272,2016
D001523,2540691854,2016
D003865,2409852179,2016
D001008,2402803856,2016
D003865,2557065982,2016
D003865,2557065982,2016
D001714,2557065982,2016
D001714,2557065982,2016
D008607,2338881946,2016
D001289,2222200714,2016
D001523,2324734191,2016
D001523,2558023585,2016
D001523,2558023585,2016
D003865,2347071977,2016
D001289,2395307277,2016
D001523,2479915677,2016
D001714,2550293941,2016
D001714,2550293941,2016
D001523,2547207239,2016
D001523,2407896695,2016
D001523,2407896695,2016
D001523,2403900556,2016
D001714,2465011573,2016
D012559,2232832407,2016
D012559,2232832407,2016
D003865,3152265552,2016
D001289,2433289299,2016
D003865,2346218050,2016
D001714,2346218050,2016
D001289,2554499747,2016
D001523,2338407232,2016
D008607,2338407232,2016
D019955,2524340119,2016
D001523,2323842871,2016
D000856,2476721103,2016
D001523,2508359046,2016
D012559,2508359046,2016
D003865,2524795127,2016
D001714,2524795127,2016
D012559,2524795127,2016
D001523,2524795127,2016
D001289,2554550778,2016
D001289,2409776973,2016
D012559,2484573653,2016
D001714,2293189571,2016
D001523,2550131554,2016
D001523,2535985840,2016
D001523,2489605112,2016
D001714,2531286062,2016
D001289,2346451929,2016
D012559,2395943924,2016
D001068,2466118967,2016
D001068,2517989193,2016
D001523,2292219067,2016
D001523,2401618972,2016
D001289,2565886018,2016
D001289,2239480930,2016
D001289,2239480930,2016
D001714,2275571665,2016
D001714,2275571665,2016
D003865,2536205084,2016
D001008,2231020943,2016
D001289,2461961303,2016
D001321,2461961303,2016
D019955,2461961303,2016
D012559,2519521356,2016
D001523,2471836915,2016
D001523,2326870807,2016
D001523,2478693744,2016
D003865,2460528274,2016
D001008,2533104183,2016
D001008,2533104183,2016
D001523,2514034491,2016
D012559,2296537658,2016
D001068,2287334192,2016
D001523,2512302437,2016
D001523,2477687661,2016
D000856,2354224967,2016
D001068,2265800532,2016
D001523,2523445223,2016
D001523,2514246274,2016
D001523,2514246274,2016
D012559,2558879170,2016
D003865,2558879170,2016
D001523,2346466578,2016
D001523,2346466578,2016
D001008,2539476524,2016
D001008,2539476524,2016
D003865,2539476524,2016
D003865,2539476524,2016
D003865,2375277458,2016
D001289,2517877855,2016
D001714,2551278953,2016
D001523,2481137715,2016
D001068,2462232551,2016
D001714,2254802873,2016
D001714,2254802873,2016
D003865,2504158775,2016
D001321,2517662902,2016
D001523,2512054507,2016
D003865,2289518141,2016
D003865,2553570874,2016
D003865,2553570874,2016
D001523,2517433970,2016
D001523,2293613494,2016
D001523,2339574223,2016
D012559,2398263189,2016
D001714,2613954053,2016
D001523,2522026047,2016
D001523,2266628795,2016
D001523,2266628795,2016
D001523,2293404719,2016
D001714,2301355701,2016
D003865,2334334134,2016
D003865,2334334134,2016
D003865,2487325444,2016
D001714,2487325444,2016
D012559,2487325444,2016
D012559,2546989888,2016
D008607,2565872039,2016
D012559,2329921518,2016
D001289,2483603222,2016
D012559,2483603222,2016
D001008,2483603222,2016
D001714,2483603222,2016
D001523,2558083031,2016
D012559,2552813843,2016
D001321,2511159179,2016
D003865,2397836572,2016
D001523,2473791789,2016
D000856,2531026568,2016
D052018,2531026568,2016
D001523,2512752236,2016
D019964,2494553739,2016
D019964,2494553739,2016
D001523,2611171886,2016
D012559,2520335138,2016
D003865,2530440697,2016
D001289,2520745193,2016
D008607,2558637609,2016
D003865,2511093827,2016
D001523,2495243644,2016
D003865,2264576686,2016
D003865,2264576686,2016
D001321,2501743587,2016
D003865,2305047126,2016
D001008,2305047126,2016
D001523,2269644561,2016
D003865,2548848938,2016
D001523,2324129498,2016
D001289,2488063178,2016
D001523,2512060233,2016
D001523,2512060233,2016
D001008,2567707183,2016
D003865,2567707183,2016
D003865,2551124254,2016
D003865,2551124254,2016
D012559,2269086097,2016
D012559,2407226692,2016
D001714,2582339281,2016
D001289,2523509374,2016
D003865,2523509374,2016
D001523,2486466188,2016
D012559,2336691821,2016
D001523,2530850545,2016
D012559,2512962603,2016
D001523,2343371127,2016
D012559,2350140856,2016
D019964,2310592600,2016
D001289,2474563917,2016
D001523,2460358250,2016
D003865,2274438384,2016
D003865,2274438384,2016
D001008,2549412398,2016
D001523,2524093764,2016
D003865,2567067623,2016
D003865,2346483381,2016
D001008,2346483381,2016
D001523,2283337457,2016
D001714,2305894010,2016
D001289,2516946345,2016
D001523,2511714114,2016
D000856,2524128876,2016
D012559,2564993144,2016
D012559,2564993144,2016
D001523,2343367886,2016
D001523,2343367886,2016
D001523,2562571267,2016
D001523,2562571267,2016
D012559,2340507721,2016
D012559,2531553530,2016
D001068,2270593069,2016
D001523,2523423157,2016
D012559,2269306935,2016
D001523,2507831377,2016
D001523,2507831377,2016
D001008,2407431731,2016
D001523,2270297230,2016
D008607,2342172329,2016
D000856,2515853133,2016
D003865,2327680317,2016
D001008,2327680317,2016
D000856,2558190397,2016
D012559,2225745139,2016
D001714,2225745139,2016
D001523,2297919747,2016
D001523,4236109258,2016
D019964,2476021276,2016
D001523,2314898767,2016
D012559,2550121815,2016
D012559,2550121815,2016
D012559,2532311837,2016
D001523,2539663156,2016
D001523,2539663156,2016
D001289,2342825768,2016
D003865,2230233271,2016
D001289,2510011677,2016
D001523,2510011677,2016
D008607,2414127896,2016
D001523,2290805006,2016
D012559,2461882808,2016
D012559,2556755294,2016
D001714,2278968639,2016
D012559,2543723477,2016
D012559,2466428598,2016
D012559,2586877103,2016
D001289,2298006382,2016
D001714,2561293793,2016
D003865,2260736106,2016
D001523,2527931137,2016
D001008,2465700423,2016
D012559,2254875034,2016
